teil	hörspiel	position	buchstabe
101	100	1	A
102	100	2	B
103	100	3	C
129	128	1	
130	128	2	
141	140	1	A
142	140	2	B
143	140	3	C
161	160	1	J
162	160	2	B
163	160	3	P
175	174	1	A
176	174	2	B
177	174	3	C
187	186	1	
188	186	2	
189	186	3	
190	186	4	
191	186	5	
192	186	6	
193	186	7	
194	186	8	
195	186	9	
196	186	10	
197	186	11	
198	186	12	
211	210	1	
212	210	2	
213	210	3	
214	210	4	
215	210	5	
216	210	6	
217	210	7	
226	225	1	A
227	225	2	B
228	225	3	C
235	234	1	
236	234	2	
237	234	3	
238	234	4	
239	234	5	
240	234	6	
261	260	1	
262	260	2	
263	260	3	
264	260	4	
265	260	5	
266	260	6	
