pseudonymID	name
1	Juan Perez
2	Albert Giro
3	Heinz Überreiter
4	Klaus-Peter Reisch
5	Hans Meinhardt
6	Philip Kunzmann
7	Pamela Punti
8	Rolf Hundertwasser
9	Iwan Raszinsky
10	Boris Stepin
11	Philip Baader
12	Marianne Wolters
13	Klaus Klein
14	Alexander Stubbe
15	Victor Bernard
16	Theodor Anzinger
17	Henriette Bischoff
18	Viktor Bramer
19	Ali Branowitch
20	Maria Benders
21	Hans-Werner Kuhn
22	Werner van Thiel
23	Marlene Lindner
24	Heinz Werder
25	Karina Leising
26	Markus Meiering
27	Tom Barrows
28	Roland Fabricius
29	Erich Büttner
30	Simon Schuchardt
31	Claes Holmcrantz
32	Fritz Wegely
33	Philip Mehringer
34	Richard Heelel
35	Manuel Hümpel
36	Heinrich Baum
37	Friedhelm Hubertus
38	Joko Talmann
39	Christian Riege
40	Chen Lung Chung
41	Sylvester Merten
42	Martin Fichte
43	Siegfried Meyerheim
44	Oskar Kluge
45	Peter Pantel
46	Marco Kröger
47	Julia Mahnkopf
48	Manfred Bendixen
49	Heiner Kramm
50	Christian Weber
51	Margot Linde
52	Norman Messer
53	Dokter Renz
54	Schiffmeister
55	König Boris
56	Igmar Frenzen
57	Wanda Osten
58	Jakob Lichtblau
59	Cäsar
60	Monique Carrera
61	Dario Bertoli
62	Michael Lampe
63	Martin Sichel
64	Wolfram Winfried
65	Francesco Nieheim
66	Bruno Ploeger
67	Balancinha Blanc
68	Gunnar Bergmann
